STATIONS_ID,MESS_DATUM,QUALITAETS_NIVEAU,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
433,1948-04-03,5,5.0,57.00,6.9,9.6,998.00,-999,3.0,5.1,14.4,-999,0,.0,-999,0
433,1948-04-04,5,5.3,63.00,6.9,9.0,1002.60,-999,2.6,4.8,13.4,-999,1,.2,-999,0
433,1948-04-05,5,7.7,71.00,8.5,9.6,995.00,-999,4.0,6.2,13.1,-999,1,.0,-999,0
433,1948-04-06,5,8.0,91.00,8.5,5.0,995.20,-999,5.6,2.3,9.4,-999,1,.8,-999,0
433,1948-04-07,5,4.0,86.00,7.5,5.3,1002.30,-999,-.3,1.7,10.2,-999,1,2.8,-999,0
433,1948-04-08,5,7.7,84.00,9.4,8.1,998.50,-999,2.2,4.7,11.9,-999,1,1.6,-999,0
433,1948-04-09,5,5.3,68.00,7.2,7.9,1004.00,-999,3.1,4.9,12.4,-999,1,4.6,-999,0
433,1948-04-10,5,4.0,72.00,7.3,7.4,1012.60,-999,3.9,5.7,10.9,-999,1,.5,-999,0
433,1948-04-11,5,7.3,65.00,6.8,8.0,1019.10,-999,-.1,4.0,10.8,-999,1,.0,-999,0
433,1948-04-12,5,8.0,93.00,8.9,6.4,1019.70,-999,4.2,5.3,9.7,-999,1,4.0,-999,0
433,1948-04-13,5,3.0,70.00,7.6,9.2,1018.40,-999,.5,3.1,14.3,-999,1,.4,-999,0
433,1948-04-14,5,6.3,63.00,7.7,9.9,1011.60,-999,3.7,6.9,13.0,-999,1,.0,-999,0
433,1948-04-15,5,3.7,67.00,6.8,7.7,1013.50,-999,2.2,4.2,10.8,-999,1,.2,-999,0
433,1948-04-16,5,.3,58.00,7.5,11.8,1015.70,-999,2.2,4.7,16.8,-999,0,.0,-999,0
433,1948-04-17,5,.0,53.00,9.6,17.0,1011.50,-999,6.2,8.6,23.6,-999,0,.0,-999,0
433,1948-04-18,5,1.3,50.00,10.9,19.4,1009.60,-999,9.0,12.0,26.7,-999,0,.0,-999,0
433,1948-04-19,5,1.7,48.00,10.1,19.2,1006.00,-999,9.2,12.5,25.6,-999,1,.0,-999,0
433,1948-04-20,5,5.0,61.00,12.2,17.5,1005.50,-999,11.2,12.8,22.7,-999,0,.0,-999,0
433,1948-04-21,5,.7,50.00,10.7,19.2,1010.60,-999,8.9,12.2,24.8,-999,0,.0,-999,0
433,1948-04-22,5,1.0,50.00,10.0,18.6,1009.30,-999,9.3,11.5,24.0,-999,0,.0,-999,0
433,1948-04-23,5,1.3,40.00,7.4,17.3,1007.50,-999,9.4,11.4,22.3,-999,0,.0,-999,0
433,1948-04-24,5,1.3,52.00,7.4,12.4,1014.40,-999,5.6,8.0,18.1,-999,0,.0,-999,0
433,1948-04-25,5,3.3,55.00,6.7,9.5,1020.20,-999,2.4,5.1,16.6,-999,0,.0,-999,0
433,1948-04-26,5,3.7,47.00,6.2,12.2,1025.30,-999,.3,2.9,17.7,-999,0,.0,-999,0
